date,campaign_id,campaign_name,placement,impressions,clicks,cost,orders,sales,ctr,cpc,cvr,acos,roas,zero_sales_spend_flag
2020-02-15,Pain relief Oil || SP || Generic-New || 18th Jan'19,Pain relief Oil || SP || Generic-New || 18th Jan'19,Product pages on Amazon,257,0,0.0,0,0.0,0.0,,,,,False
2020-02-15,Pain relief Oil || SP || Generic-New || 18th Jan'19,Pain relief Oil || SP || Generic-New || 18th Jan'19,Rest of search on Amazon,31,0,0.0,0,0.0,0.0,,,,,False
2020-02-15,Sunscreen || SP || Generic || 24th Nov'19,Sunscreen || SP || Generic || 24th Nov'19,First page Top of Search on Amazon,77,2,1.0,1,887.28,0.025974025974025976,0.5,0.5,0.001127039942295555,887.28,False
2020-02-15,Sunscreen || SP || Generic || 24th Nov'19,Sunscreen || SP || Generic || 24th Nov'19,Product pages on Amazon,4013,3,20.246666666666663,0,0.0,0.00074757039621231,6.748888888888888,0.0,,0.0,True
2020-02-15,Sunscreen || SP || Generic || 24th Nov'19,Sunscreen || SP || Generic || 24th Nov'19,Rest of search on Amazon,1426,11,18.265454545454546,1,295.76,0.007713884992987377,1.660495867768595,0.09090909090909091,0.06175769051073352,16.192315349392793,False
2020-02-16,Pain Relief Oil || SP || Automatic || 22nd Nov'19,Pain Relief Oil || SP || Automatic || 22nd Nov'19,First page Top of Search on Amazon,51,4,7.877499999999999,1,1210.72,0.0784313725490196,1.9693749999999997,0.25,0.006506458966565348,153.69343065693434,False
2020-02-16,Pain Relief Oil || SP || Automatic || 22nd Nov'19,Pain Relief Oil || SP || Automatic || 22nd Nov'19,Product pages on Amazon,1305,2,12.27,0,0.0,0.0015325670498084292,6.135,0.0,,0.0,True
2020-02-16,Pain Relief Oil || SP || Automatic || 22nd Nov'19,Pain Relief Oil || SP || Automatic || 22nd Nov'19,Rest of search on Amazon,67,0,0.0,0,0.0,0.0,,,,,False
2020-02-16,Pain relief Oil || SP || Generic || 22nd Nov'19,Pain relief Oil || SP || Generic || 22nd Nov'19,First page Top of Search on Amazon,116,1,12.58,0,0.0,0.008620689655172414,12.58,0.0,,0.0,True
2020-02-16,Pain relief Oil || SP || Generic || 22nd Nov'19,Pain relief Oil || SP || Generic || 22nd Nov'19,Product pages on Amazon,1944,1,39.84,0,0.0,0.00051440329218107,39.84,0.0,,0.0,True
2020-02-16,Pain relief Oil || SP || Generic || 22nd Nov'19,Pain relief Oil || SP || Generic || 22nd Nov'19,Rest of search on Amazon,413,0,0.0,0,0.0,0.0,,,,,False
2020-02-16,Pain relief Oil || SP || Generic-New || 18th Jan'19,Pain relief Oil || SP || Generic-New || 18th Jan'19,First page Top of Search on Amazon,83,11,5.920000000000001,5,1816.08,0.13253012048192772,0.5381818181818182,0.45454545454545453,0.003259768292145721,306.7702702702702,False
2020-02-16,Pain relief Oil || SP || Generic-New || 18th Jan'19,Pain relief Oil || SP || Generic-New || 18th Jan'19,Product pages on Amazon,287,0,0.0,0,0.0,0.0,,,,,False
2020-02-16,Pain relief Oil || SP || Generic-New || 18th Jan'19,Pain relief Oil || SP || Generic-New || 18th Jan'19,Rest of search on Amazon,28,0,0.0,0,0.0,0.0,,,,,False
2020-02-16,Sunscreen || SP || Generic || 24th Nov'19,Sunscreen || SP || Generic || 24th Nov'19,First page Top of Search on Amazon,205,4,7.6075,0,0.0,0.01951219512195122,1.901875,0.0,,0.0,True
2020-02-16,Sunscreen || SP || Generic || 24th Nov'19,Sunscreen || SP || Generic || 24th Nov'19,Product pages on Amazon,6449,2,20.51,0,0.0,0.0003101256008683517,10.255,0.0,,0.0,True
2020-02-16,Sunscreen || SP || Generic || 24th Nov'19,Sunscreen || SP || Generic || 24th Nov'19,Rest of search on Amazon,2763,18,19.656666666666663,0,0.0,0.006514657980456026,1.092037037037037,0.0,,0.0,True
2020-02-17,Hair Oil || SP|| Automatic || 17th Feb'20,Hair Oil || SP|| Automatic || 17th Feb'20,First page Top of Search on Amazon,5,0,0.0,0,0.0,0.0,,,,,False
2020-02-17,Hair Oil || SP|| Automatic || 17th Feb'20,Hair Oil || SP|| Automatic || 17th Feb'20,Product pages on Amazon,66,0,0.0,0,0.0,0.0,,,,,False
2020-02-17,Hair Oil || SP|| Automatic || 17th Feb'20,Hair Oil || SP|| Automatic || 17th Feb'20,Rest of search on Amazon,7,0,0.0,0,0.0,0.0,,,,,False
2020-02-17,Night Cream || SP || Automatic || 22nd Nov'19,Night Cream || SP || Automatic || 22nd Nov'19,First page Top of Search on Amazon,3,0,0.0,0,0.0,0.0,,,,,False
