date,campaign_id,campaign_name,search_term,impressions,clicks,cost,orders,sales
2025-11-05,B0CT7J7X98 - Ignite Fat Burner - Non Branded - Scaling - Cambria  - Phrase - 5,B0CT7J7X98 - Ignite Fat Burner - Non Branded - Scaling - Cambria  - Phrase - 5,best fat burner for women over 40,1,1,1.5,0,0.0
2025-11-05,B0CT7J7X98 - Ignite Fat Burner - Non Branded - Scaling - Cambria  - Phrase - 5,B0CT7J7X98 - Ignite Fat Burner - Non Branded - Scaling - Cambria  - Phrase - 5,collagenic fat burner,2,1,1.5,0,0.0
2025-11-05,B0CT7J7X98 - Ignite Fat Burner - Non Branded - Scaling - Cambria  - Phrase - 5,B0CT7J7X98 - Ignite Fat Burner - Non Branded - Scaling - Cambria  - Phrase - 5,fat burner,223,1,1.5,0,0.0
2025-11-05,B0CT7J7X98 - Ignite Fat Burner - Non Branded - Scaling - Cambria  - Phrase - 5,B0CT7J7X98 - Ignite Fat Burner - Non Branded - Scaling - Cambria  - Phrase - 5,fat burner cla women 5000,1,1,1.5,0,0.0
2025-11-05,B0CT7J7X98 - Ignite Fat Burner - Non Branded - Scaling - Cambria  - Phrase - 5,B0CT7J7X98 - Ignite Fat Burner - Non Branded - Scaling - Cambria  - Phrase - 5,fat burner drops,1,1,1.42,0,0.0
2025-11-05,B0CT7J7X98 - Ignite Fat Burner - Non Branded - Scaling - Cambria  - Phrase - 5,B0CT7J7X98 - Ignite Fat Burner - Non Branded - Scaling - Cambria  - Phrase - 5,fat burners for women,51,1,1.5,0,0.0
2025-11-05,B0CT7J7X98 - Ignite Fat Burner - Non Branded - Scaling - Cambria  - Phrase - 5,B0CT7J7X98 - Ignite Fat Burner - Non Branded - Scaling - Cambria  - Phrase - 5,green tea fat burner with egcg,2,2,2.86,0,0.0
2025-11-05,B0CT7J7X98 - Ignite Fat Burner - Non Branded - Scaling - Cambria  - Phrase - 5,B0CT7J7X98 - Ignite Fat Burner - Non Branded - Scaling - Cambria  - Phrase - 5,healthy fat burner men,1,1,1.5,0,0.0
2025-11-05,B0CT7J7X98 - Ignite Fat Burner - Non Branded - Scaling - Cambria  - Phrase - 5,B0CT7J7X98 - Ignite Fat Burner - Non Branded - Scaling - Cambria  - Phrase - 5,low stim fat burner,1,1,1.41,0,0.0
2025-11-05,B0CT7J7X98 - Ignite Fat Burner - Non Branded - Scaling - Cambria  - Phrase - 5,B0CT7J7X98 - Ignite Fat Burner - Non Branded - Scaling - Cambria  - Phrase - 5,stim free fat burner,9,1,1.5,1,32.99
2025-11-05,B0CT7J7X98 - Ignite Fat Burner - Non Branded - Scaling - Cambria  - Phrase - 5,B0CT7J7X98 - Ignite Fat Burner - Non Branded - Scaling - Cambria  - Phrase - 5,thermal ignite fat burner for women,2,1,1.5,0,0.0
2025-11-05,B0CT7J7X98 - Ignite Fat Burner - Non Branded - Scaling - Cambria  - Phrase - 5,B0CT7J7X98 - Ignite Fat Burner - Non Branded - Scaling - Cambria  - Phrase - 5,weight loss fat burner supplements for women,2,1,1.5,0,0.0
2025-11-05,B0CT7J7X98 - Ignite Fat Burner - Non Branded - Scaling - Cambria  - Phrase - 8,B0CT7J7X98 - Ignite Fat Burner - Non Branded - Scaling - Cambria  - Phrase - 8,ignite metabolism,6,1,1.95,0,0.0
2025-11-05,B0CT7J7X98 - Ignite Fat Burner - Non Branded - Scaling - Cambria  - Phrase - 9,B0CT7J7X98 - Ignite Fat Burner - Non Branded - Scaling - Cambria  - Phrase - 9,ignite supplements for women,4,1,1.34,0,0.0
2025-11-05,B0CT7J7X98 - Ignite Fat Burner - Non Branding - Ranking - Cambria  - Exact - 22,B0CT7J7X98 - Ignite Fat Burner - Non Branding - Ranking - Cambria  - Exact - 22,fat burning and weight loss pills,5,1,1.14,0,0.0
2025-11-05,B0DM43FG22  - Timeless - NAD+ - Non Branded - Ranking - Cambria  - Exact - 1,B0DM43FG22  - Timeless - NAD+ - Non Branded - Ranking - Cambria  - Exact - 1,nad supplements for women,84,1,2.08,0,0.0
2025-11-05,B0DM43FG22 (TIMELESS) - SP - KWG: NAD / NICOTINAMIDE BROAD+,B0DM43FG22 (TIMELESS) - SP - KWG: NAD / NICOTINAMIDE BROAD+,nad+ supplement with nicotinamide,3,1,3.15,0,0.0
2025-11-05,B0DM43FG22 (Timeless)  - SP - PRODUCT 2,B0DM43FG22 (Timeless)  - SP - PRODUCT 2,b0cjg45whw,44,1,3.25,0,0.0
